seq,secs,pos_l,vel_l
0,-0.00013184547424316406,-3.3611083360973737e-10,18.149425506591797
0,0.09498119354248047,2.0366368293762207,26460.431640625
0,0.19131207466125488,2953.828857421875,35564.0625
0,0.2876110076904297,7408.4150390625,30568.6953125
0,0.38326120376586914,12353.623046875,18759.904296875
0,0.4792320728302002,17232.7421875,6534.59765625
0,0.5752091407775879,21740.80859375,-2701.7392578125
0,1.250929355621338,25677.482421875,-7891.21240234375
0,0.767221212387085,28905.197265625,-9171.849609375
0,0.8631970882415771,31293.79296875,-7161.50732421875
0,0.9593110084533691,32748.3359375,-3070.96484375
0,1.0551931858062744,33285.0390625,1098.9674072265625
0,1.1512341499328613,33107.0703125,3656.07568359375
0,1.247145175933838,32512.41796875,4446.8310546875
0,1.3432261943817139,31764.1640625,4134.45166015625
0,1.4391701221466064,31017.388671875,3375.10009765625
0,1.5352771282196045,30364.287109375,2536.16943359375
0,1.851029872894287,29843.416015625,1784.2110595703125
0,1.7272231578826904,29454.951171875,1164.8114013671875
0,1.823179006576538,29189.974609375,684.132080078125
0,1.919215202331543,29029.412109375,328.2452697753906
0,2.0151960849761963,28950.90625,78.51327514648438
0,2.1112191677093506,28931.923828125,-84.3912124633789
0,2.2072222232818604,28952.39453125,-177.92172241210938
0,2.302847146987915,28995.4609375,-218.3787078857422
0,2.399090051651001,29048.107421875,-220.78091430664062
0,2.4948132038116455,29101.01171875,-198.3931884765625
0,2.5911550521850586,29148.2734375,-162.42413330078125
0,3.411618709564209,29186.76953125,-121.6375961303711
0,2.7831079959869385,29215.486328125,-82.26316833496094
0,2.97507905960083,29258.14453125,-6.95876407623291
0,2.9816060066223145,0.0,0.0
